Airline,Source,Destination,Duration,Total stops,Price,Date
Aeroflot,AMS,NYC,10h 15m ,nonstop ,994 NIS ,01/03/2023
Aeroflot,AMS,NYC,10h 15m ,nonstop ,929 NIS ,01/03/2023
Aeroflot,AMS,NYC,10h 15m ,nonstop ,929 NIS ,01/03/2023
Delta,AMS,NYC,14h 25m ,1 stop ,"1,044 NIS ",01/03/2023
Delta,AMS,NYC,15h 10m ,1 stop ,"1,044 NIS ",01/03/2023
Delta,AMS,NYC,17h 25m ,1 stop ,"1,044 NIS ",01/03/2023
Delta,AMS,NYC,18h 10m ,1 stop ,"1,044 NIS ",01/03/2023
Delta,AMS,NYC,19h 30m ,1 stop ,"1,044 NIS ",01/03/2023
Delta,AMS,NYC,15h 40m ,1 stop ,"1,072 NIS ",01/03/2023
Delta,AMS,NYC,18h 20m ,1 stop ,"1,072 NIS ",01/03/2023
Air France,AMS,NYC,14h 00m ,1 stop ,"1,705 NIS ",01/03/2023
Air France,AMS,NYC,14h 45m ,1 stop ,"1,705 NIS ",01/03/2023
Air France,AMS,NYC,15h 50m ,1 stop ,"1,705 NIS ",01/03/2023
Air France,AMS,NYC,16h 05m ,1 stop ,"1,705 NIS ",01/03/2023
LOT,AMS,NYC,14h 10m ,1 stop ,"1,845 NIS ",01/03/2023
Delta,AMS,NYC,18h 53m ,2 stops ,"1,065 NIS ",01/03/2023
Aeroflot,AMS,NYC,10h 15m ,nonstop ,994 NIS ,02/03/2023
Aeroflot,AMS,NYC,10h 15m ,nonstop ,929 NIS ,02/03/2023
Delta,AMS,NYC,15h 40m ,1 stop ,"1,072 NIS ",02/03/2023
Air France,AMS,NYC,14h 00m ,1 stop ,"1,705 NIS ",02/03/2023
LOT,AMS,NYC,14h 10m ,1 stop ,"1,845 NIS ",02/03/2023
Finnair,AMS,NYC,13h 10m ,1 stop ,"2,286 NIS ",02/03/2023
Aeroflot,AMS,NYC,10h 15m ,nonstop ,994 NIS ,03/03/2023
Aeroflot,AMS,NYC,10h 15m ,nonstop ,929 NIS ,03/03/2023
Delta,AMS,NYC,14h 25m ,1 stop ,"1,044 NIS ",03/03/2023
Air France,AMS,NYC,14h 00m ,1 stop ,"1,705 NIS ",03/03/2023
LOT,AMS,NYC,14h 10m ,1 stop ,"1,845 NIS ",03/03/2023
LOT,AMS,NYC,14h 15m ,1 stop ,"1,971 NIS ",03/03/2023
Finnair,AMS,NYC,13h 10m ,1 stop ,"2,286 NIS ",03/03/2023
Qatar Airways,AMS,NYC,21h 45m ,1 stop ,"2,718 NIS ",03/03/2023
"KLM, Lufthansa",AMS,NYC,14h 05m ,1 stop ,"11,241 NIS ",03/03/2023
Aeroflot,AMS,NYC,10h 15m ,nonstop ,994 NIS ,07/03/2023
Aeroflot,AMS,NYC,10h 15m ,nonstop ,929 NIS ,07/03/2023
Delta,AMS,NYC,14h 25m ,1 stop ,"1,044 NIS ",07/03/2023
Delta,AMS,NYC,15h 10m ,1 stop ,"1,044 NIS ",07/03/2023
Delta,AMS,NYC,17h 25m ,1 stop ,"1,044 NIS ",07/03/2023
Delta,AMS,NYC,19h 30m ,1 stop ,"1,044 NIS ",07/03/2023
Delta,AMS,NYC,15h 40m ,1 stop ,"1,072 NIS ",07/03/2023
Delta,AMS,NYC,18h 20m ,1 stop ,"1,072 NIS ",07/03/2023
Delta,AMS,NYC,18h 10m ,1 stop ,"1,217 NIS ",07/03/2023
Air France,AMS,NYC,14h 00m ,1 stop ,"1,705 NIS ",07/03/2023
Air France,AMS,NYC,16h 05m ,1 stop ,"1,705 NIS ",07/03/2023
LOT,AMS,NYC,14h 10m ,1 stop ,"1,845 NIS ",07/03/2023
Delta,AMS,NYC,18h 53m ,2 stops ,"1,065 NIS ",07/03/2023
Delta,AMS,NYC,19h 36m ,2 stops ,"1,065 NIS ",07/03/2023
Delta,AMS,NYC,18h 28m ,2 stops ,"1,093 NIS ",07/03/2023
Finnair,AMS,NYC,13h 10m ,1 stop ,"2,286 NIS ",07/03/2023
LOT,AMS,NYC,16h 35m ,1 stop ,"2,794 NIS ",07/03/2023
"Aeroflot, KLM",AMS,NYC,14h 30m ,1 stop ,"2,918 NIS ",07/03/2023
"Aeroflot, Turkish Airlines",AMS,NYC,19h 05m ,2 stops ,"1,575 NIS ",07/03/2023
Finnair,AMS,NYC,17h 05m ,2 stops ,"3,009 NIS ",07/03/2023
Air France,AMS,NYC,14h 45m ,1 stop ,"4,655 NIS ",07/03/2023
"Air France, Air Canada",AMS,NYC,18h 09m ,2 stops ,"6,141 NIS ",07/03/2023
Air France,AMS,NYC,17h 15m ,2 stops ,"6,199 NIS ",07/03/2023
KLM,AMS,NYC,16h 30m ,2 stops ,"6,251 NIS ",07/03/2023
Air France,AMS,NYC,19h 35m ,2 stops ,"6,260 NIS ",07/03/2023
KLM,AMS,NYC,18h 05m ,2 stops ,"6,296 NIS ",07/03/2023
KLM,AMS,NYC,18h 05m ,2 stops ,"6,296 NIS ",07/03/2023
"Aeroflot, KLM",AMS,NYC,18h 10m ,1 stop ,"6,431 NIS ",07/03/2023
"Aeroflot, KLM",AMS,NYC,16h 10m ,1 stop ,"6,487 NIS ",07/03/2023
"Aeroflot, KLM",AMS,NYC,15h 40m ,1 stop ,"6,500 NIS ",07/03/2023
