Airline,Source,Destination,Duration,Total stops,Price,Date
Egypt Air,FCO,NYC,18h 45m ,1 stop ,"2,102 NIS ",02/03/2023
"British Airways, American Airlines",FCO,NYC,18h 25m ,1 stop ,"3,805 NIS ",02/03/2023
"British Airways, American Airlines",FCO,NYC,19h 35m ,1 stop ,"3,805 NIS ",02/03/2023
"British Airways, American Airlines",FCO,NYC,19h 55m ,1 stop ,"3,805 NIS ",02/03/2023
"Qatar Airways, American Airlines",FCO,NYC,18h 20m ,1 stop ,"4,123 NIS ",02/03/2023
Oman Air,FCO,NYC,30h 20m ,2 stops ,"2,655 NIS ",02/03/2023
Lufthansa,FCO,NYC,19h 50m ,2 stops ,"3,785 NIS ",02/03/2023
Egypt Air,FCO,NYC,18h 45m ,1 stop ,"2,143 NIS ",03/03/2023
Egypt Air,FCO,NYC,18h 45m ,1 stop ,"1,980 NIS ",03/03/2023
"Air Cairo, Air France",FCO,NYC,35h 46m ,3 stops ,"1,791 NIS ",03/03/2023
Egypt Air,FCO,NYC,24h 45m ,1 stop ,"1,992 NIS ",03/03/2023
KLM,FCO,NYC,20h 40m ,1 stop ,"2,318 NIS ",03/03/2023
KLM,FCO,NYC,23h 20m ,1 stop ,"2,318 NIS ",03/03/2023
Turkish Airlines,FCO,NYC,19h 40m ,1 stop ,"2,659 NIS ",03/03/2023
Turkish Airlines,FCO,NYC,23h 55m ,1 stop ,"2,659 NIS ",03/03/2023
"Air Arabia, Egypt Air",FCO,NYC,23h 45m ,1 stop ,"2,852 NIS ",03/03/2023
Etihad Airways,FCO,NYC,19h 40m ,1 stop ,"2,953 NIS ",03/03/2023
Etihad Airways,FCO,NYC,25h 35m ,1 stop ,"2,953 NIS ",03/03/2023
Emirates,FCO,NYC,18h 00m ,1 stop ,"2,996 NIS ",03/03/2023
Emirates,FCO,NYC,19h 55m ,1 stop ,"2,996 NIS ",03/03/2023
Emirates,FCO,NYC,25h 35m ,1 stop ,"2,996 NIS ",03/03/2023
Emirates,FCO,NYC,23h 05m ,1 stop ,"3,039 NIS ",03/03/2023
Emirates,FCO,NYC,25h 25m ,1 stop ,"3,039 NIS ",03/03/2023
Air France,FCO,NYC,16h 35m ,1 stop ,"3,102 NIS ",03/03/2023
Air France,FCO,NYC,19h 10m ,1 stop ,"3,102 NIS ",03/03/2023
Air France,FCO,NYC,19h 55m ,1 stop ,"3,139 NIS ",03/03/2023
Air France,FCO,NYC,22h 10m ,1 stop ,"3,139 NIS ",03/03/2023
Air France,FCO,NYC,22h 55m ,1 stop ,"3,139 NIS ",03/03/2023
Air France,FCO,NYC,24h 15m ,1 stop ,"3,139 NIS ",03/03/2023
Qatar Airways,FCO,NYC,18h 20m ,1 stop ,"3,172 NIS ",03/03/2023
Qatar Airways,FCO,NYC,22h 45m ,1 stop ,"3,172 NIS ",03/03/2023
"Lufthansa, Air France",FCO,NYC,19h 10m ,1 stop ,"3,326 NIS ",03/03/2023
Air France,FCO,NYC,27h 50m ,1 stop ,"3,181 NIS ",03/03/2023
"SAUDIA, Finnair",FCO,NYC,18h 25m ,1 stop ,"3,457 NIS ",03/03/2023
Lufthansa,FCO,NYC,19h 50m ,1 stop ,"3,658 NIS ",03/03/2023
Lufthansa,FCO,NYC,22h 25m ,1 stop ,"3,658 NIS ",03/03/2023
Lufthansa,FCO,NYC,20h 10m ,1 stop ,"3,679 NIS ",03/03/2023
"Lufthansa, United Airlines",FCO,NYC,20h 10m ,1 stop ,"3,720 NIS ",03/03/2023
"British Airways, American Airlines",FCO,NYC,18h 25m ,1 stop ,"3,805 NIS ",03/03/2023
"British Airways, American Airlines",FCO,NYC,19h 35m ,1 stop ,"3,805 NIS ",03/03/2023
"British Airways, American Airlines",FCO,NYC,19h 50m ,1 stop ,"3,805 NIS ",03/03/2023
"British Airways, American Airlines",FCO,NYC,20h 55m ,1 stop ,"3,805 NIS ",03/03/2023
"British Airways, American Airlines",FCO,NYC,21h 25m ,1 stop ,"3,805 NIS ",03/03/2023
"British Airways, American Airlines",FCO,NYC,24h 20m ,1 stop ,"3,805 NIS ",03/03/2023
British Airways,FCO,NYC,24h 20m ,1 stop ,"3,811 NIS ",03/03/2023
"SAUDIA, Virgin Atlantic",FCO,NYC,17h 10m ,1 stop ,"3,817 NIS ",03/03/2023
Royal Jordanian,FCO,NYC,17h 10m ,1 stop ,"3,927 NIS ",03/03/2023
"SAUDIA, Virgin Atlantic",FCO,NYC,20h 30m ,1 stop ,"3,929 NIS ",03/03/2023
"Qatar Airways, American Airlines",FCO,NYC,18h 20m ,1 stop ,"4,123 NIS ",03/03/2023
"British Airways, American Airlines",FCO,NYC,26h 35m ,1 stop ,"3,805 NIS ",03/03/2023
"British Airways, American Airlines",FCO,NYC,27h 15m ,1 stop ,"3,805 NIS ",03/03/2023
British Airways,FCO,NYC,28h 05m ,1 stop ,"3,811 NIS ",03/03/2023
Emirates,FCO,NYC,19h 05m ,1 stop ,"4,193 NIS ",03/03/2023
Emirates,FCO,NYC,24h 45m ,1 stop ,"4,193 NIS ",03/03/2023
Ethiopian Air,FCO,NYC,23h 05m ,2 stops ,"2,189 NIS ",03/03/2023
KLM,FCO,NYC,20h 40m ,2 stops ,"2,284 NIS ",03/03/2023
KLM,FCO,NYC,23h 20m ,2 stops ,"2,263 NIS ",03/03/2023
KLM,FCO,NYC,27h 00m ,2 stops ,"2,263 NIS ",03/03/2023
KLM,FCO,NYC,23h 45m ,2 stops ,"2,425 NIS ",03/03/2023
KLM,FCO,NYC,23h 45m ,2 stops ,"2,425 NIS ",03/03/2023
KLM,FCO,NYC,23h 05m ,2 stops ,"2,483 NIS ",03/03/2023
KLM,FCO,NYC,25h 30m ,2 stops ,"2,483 NIS ",03/03/2023
"Air Arabia, Lufthansa",FCO,NYC,24h 00m ,2 stops ,"2,484 NIS ",03/03/2023
Gulf Air,FCO,NYC,22h 05m ,2 stops ,"2,527 NIS ",03/03/2023
Gulf Air,FCO,NYC,22h 25m ,2 stops ,"2,527 NIS ",03/03/2023
"KLM, Air France",FCO,NYC,26h 35m ,2 stops ,"2,576 NIS ",03/03/2023
"Egypt Air, Air Canada",FCO,NYC,27h 20m ,2 stops ,"2,603 NIS ",03/03/2023
