Airline,Source,Destination,Duration,Total stops,Price,Date
Qatar Airways,MEX,PAR,14h 40m ,1 stop ,"2,216 NIS ",01/03/2023
"Turkish Airlines, Nordwind Airlines",MEX,PAR,15h 35m ,1 stop ,"1,674 NIS ",01/03/2023
Multiple Airlines,MEX,PAR,17h 30m ,3 stops ,"1,304 NIS ",01/03/2023
"Turkish Airlines, Aeroflot",MEX,PAR,16h 50m ,1 stop ,"1,851 NIS ",01/03/2023
"flynas, Aeroflot",MEX,PAR,13h 30m ,1 stop ,"1,876 NIS ",01/03/2023
"Egypt Air, Aeroflot",MEX,PAR,17h 05m ,1 stop ,"1,979 NIS ",01/03/2023
"flyadeal, Aeroflot",MEX,PAR,14h 45m ,1 stop ,"2,042 NIS ",01/03/2023
"SAUDIA, Aeroflot",MEX,PAR,14h 15m ,1 stop ,"2,117 NIS ",01/03/2023
"flynas, Aeroflot",MEX,PAR,13h 25m ,1 stop ,"2,125 NIS ",01/03/2023
Qatar Airways,MEX,PAR,14h 40m ,1 stop ,"2,196 NIS ",01/03/2023
KLM,MEX,PAR,16h 30m ,1 stop ,"2,295 NIS ",01/03/2023
"flydubai, Aeroflot",MEX,PAR,11h 40m ,1 stop ,"2,501 NIS ",01/03/2023
"KLM, Aeroflot",MEX,PAR,17h 50m ,1 stop ,"2,510 NIS ",01/03/2023
"KLM, Aeroflot",MEX,PAR,16h 30m ,1 stop ,"2,584 NIS ",01/03/2023
"Emirates, Aeroflot",MEX,PAR,11h 25m ,1 stop ,"2,668 NIS ",01/03/2023
"SAUDIA, Air France",MEX,PAR,13h 15m ,1 stop ,"2,754 NIS ",01/03/2023
"SAUDIA, Aeroflot",MEX,PAR,17h 30m ,1 stop ,"2,736 NIS ",01/03/2023
"SAUDIA, Aeroflot",MEX,PAR,20h 50m ,1 stop ,"2,736 NIS ",01/03/2023
Multiple Airlines,MEX,PAR,19h 45m ,2 stops ,"1,545 NIS ",01/03/2023
Multiple Airlines,MEX,PAR,15h 05m ,2 stops ,"1,714 NIS ",01/03/2023
"British Airways, Finnair",MEX,PAR,19h 10m ,2 stops ,"1,781 NIS ",01/03/2023
