Airline,Source,Destination,Duration,Total stops,Price,Date
Etihad Airways,NYC,AMS,15h 45m ,1 stop ,"2,173 NIS ",01/03/2023
Etihad Airways,NYC,AMS,15h 45m ,1 stop ,"2,078 NIS ",01/03/2023
Etihad Airways,NYC,AMS,21h 55m ,1 stop ,"2,078 NIS ",01/03/2023
Egypt Air,NYC,AMS,18h 40m ,1 stop ,"2,479 NIS ",01/03/2023
Royal Jordanian,NYC,AMS,14h 10m ,1 stop ,"2,570 NIS ",01/03/2023
Qatar Airways,NYC,AMS,20h 15m ,1 stop ,"2,523 NIS ",01/03/2023
Qatar Airways,NYC,AMS,21h 10m ,1 stop ,"2,523 NIS ",01/03/2023
Royal Jordanian,NYC,AMS,21h 00m ,1 stop ,"2,570 NIS ",01/03/2023
Ethiopian Air,NYC,AMS,21h 40m ,1 stop ,"2,815 NIS ",01/03/2023
Lufthansa,NYC,AMS,16h 10m ,1 stop ,"3,512 NIS ",01/03/2023
"United Airlines, Lufthansa",NYC,AMS,16h 10m ,1 stop ,"3,557 NIS ",01/03/2023
Turkish Airlines,NYC,AMS,21h 25m ,1 stop ,"2,944 NIS ",01/03/2023
Turkish Airlines,NYC,AMS,22h 15m ,1 stop ,"2,944 NIS ",01/03/2023
"American Airlines, Qatar Airways",NYC,AMS,20h 15m ,1 stop ,"3,074 NIS ",01/03/2023
Lufthansa,NYC,AMS,17h 35m ,1 stop ,"3,492 NIS ",01/03/2023
Lufthansa,NYC,AMS,19h 55m ,1 stop ,"3,492 NIS ",01/03/2023
"United Airlines, Lufthansa",NYC,AMS,17h 35m ,1 stop ,"3,557 NIS ",01/03/2023
"United Airlines, Lufthansa",NYC,AMS,19h 55m ,1 stop ,"3,557 NIS ",01/03/2023
KLM,NYC,AMS,17h 50m ,1 stop ,"3,759 NIS ",01/03/2023
KLM,NYC,AMS,19h 50m ,1 stop ,"3,759 NIS ",01/03/2023
Emirates,NYC,AMS,20h 05m ,1 stop ,"3,759 NIS ",01/03/2023
Emirates,NYC,AMS,18h 30m ,1 stop ,"3,790 NIS ",01/03/2023
Emirates,NYC,AMS,19h 25m ,1 stop ,"3,790 NIS ",01/03/2023
"Emirates, flynas",NYC,AMS,17h 45m ,1 stop ,"3,743 NIS ",01/03/2023
KLM,NYC,AMS,20h 45m ,1 stop ,"3,759 NIS ",01/03/2023
Emirates,NYC,AMS,24h 05m ,1 stop ,"3,790 NIS ",01/03/2023
"Virgin Atlantic, SAUDIA",NYC,AMS,16h 14m ,1 stop ,"7,486 NIS ",01/03/2023
"American Airlines, British Airways",NYC,AMS,15h 35m ,1 stop ,"7,633 NIS ",01/03/2023
British Airways,NYC,AMS,15h 35m ,1 stop ,"7,656 NIS ",01/03/2023
Multiple Airlines,NYC,AMS,21h 20m ,2 stops ,"2,508 NIS ",01/03/2023
Ethiopian Air,NYC,AMS,21h 40m ,2 stops ,"2,605 NIS ",01/03/2023
"Egypt Air, flyadeal",NYC,AMS,19h 05m ,2 stops ,"2,746 NIS ",01/03/2023
"Egypt Air, flynas",NYC,AMS,18h 35m ,2 stops ,"2,757 NIS ",01/03/2023
Ethiopian Air,NYC,AMS,21h 40m ,2 stops ,"2,793 NIS ",01/03/2023
Qatar Airways,NYC,AMS,23h 40m ,2 stops ,"3,160 NIS ",01/03/2023
"Emirates, Egypt Air",NYC,AMS,20h 40m ,2 stops ,"3,171 NIS ",01/03/2023
"Air France, Royal Jordanian",NYC,AMS,18h 20m ,2 stops ,"3,185 NIS ",01/03/2023
Air Canada,NYC,AMS,20h 00m ,2 stops ,"3,403 NIS ",01/03/2023
Air Canada,NYC,AMS,20h 10m ,2 stops ,"3,403 NIS ",01/03/2023
Air Canada,NYC,AMS,21h 14m ,2 stops ,"3,403 NIS ",01/03/2023
Air Canada,NYC,AMS,23h 00m ,2 stops ,"3,403 NIS ",01/03/2023
Air Canada,NYC,AMS,21h 40m ,2 stops ,"3,410 NIS ",01/03/2023
Air Canada,NYC,AMS,21h 45m ,2 stops ,"3,410 NIS ",01/03/2023
Air Canada,NYC,AMS,22h 40m ,2 stops ,"3,410 NIS ",01/03/2023
Air Canada,NYC,AMS,23h 25m ,2 stops ,"3,410 NIS ",01/03/2023
Air Canada,NYC,AMS,17h 05m ,2 stops ,"3,424 NIS ",01/03/2023
Air Canada,NYC,AMS,17h 15m ,2 stops ,"3,424 NIS ",01/03/2023
Air Canada,NYC,AMS,18h 05m ,2 stops ,"3,424 NIS ",01/03/2023
