Airline,Source,Destination,Duration,Total stops,Price,Date
Aeroflot,NYC,LUX,9h 00m ,nonstop ,"1,282 NIS ",01/03/2023
Aeroflot,NYC,LUX,9h 00m ,nonstop ,"1,203 NIS ",01/03/2023
Aeroflot,NYC,LUX,9h 00m ,nonstop ,"1,203 NIS ",01/03/2023
Delta,NYC,LUX,11h 30m ,1 stop ,"1,397 NIS ",01/03/2023
Delta,NYC,LUX,12h 35m ,1 stop ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,13h 30m ,1 stop ,"1,397 NIS ",01/03/2023
Delta,NYC,LUX,14h 25m ,1 stop ,"1,397 NIS ",01/03/2023
Delta,NYC,LUX,13h 35m ,1 stop ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,14h 35m ,1 stop ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,17h 20m ,1 stop ,"1,414 NIS ",01/03/2023
"Finnair, Aeroflot",NYC,LUX,15h 15m ,1 stop ,"1,796 NIS ",01/03/2023
"American Airlines, Finnair",NYC,LUX,12h 20m ,1 stop ,"1,935 NIS ",01/03/2023
LOT,NYC,LUX,13h 35m ,1 stop ,"2,262 NIS ",01/03/2023
KLM,NYC,LUX,11h 30m ,1 stop ,"2,358 NIS ",01/03/2023
Delta,NYC,LUX,15h 00m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,17h 00m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,17h 00m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,17h 00m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,17h 20m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,17h 50m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,18h 01m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,18h 01m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,18h 15m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,18h 40m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,18h 40m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,19h 00m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,19h 00m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,19h 15m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,19h 15m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,19h 15m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,19h 30m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,19h 30m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,19h 30m ,2 stops ,"1,414 NIS ",01/03/2023
Delta,NYC,LUX,15h 55m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,16h 00m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,16h 45m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,17h 05m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,17h 20m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,17h 20m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,17h 35m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,17h 50m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,17h 50m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,17h 50m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,18h 35m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,18h 54m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,18h 55m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,19h 05m ,2 stops ,"1,431 NIS ",01/03/2023
Delta,NYC,LUX,19h 20m ,2 stops ,"1,431 NIS ",01/03/2023
"SWISS, Aeroflot",NYC,LUX,16h 35m ,2 stops ,"1,544 NIS ",01/03/2023
"SWISS, Aeroflot",NYC,LUX,17h 35m ,2 stops ,"1,544 NIS ",01/03/2023
"JetBlue, Aeroflot",NYC,LUX,17h 05m ,1 stop ,"1,914 NIS ",01/03/2023
"JetBlue, Aeroflot",NYC,LUX,17h 35m ,1 stop ,"1,914 NIS ",01/03/2023
KLM,NYC,LUX,13h 30m ,1 stop ,"2,358 NIS ",01/03/2023
KLM,NYC,LUX,14h 25m ,1 stop ,"2,358 NIS ",01/03/2023
KLM,NYC,LUX,20h 25m ,1 stop ,"2,358 NIS ",01/03/2023
Air France,NYC,LUX,19h 40m ,1 stop ,"2,376 NIS ",01/03/2023
Air France,NYC,LUX,20h 40m ,1 stop ,"2,376 NIS ",01/03/2023
"Singapore Airlines, Aeroflot",NYC,LUX,15h 05m ,1 stop ,"2,417 NIS ",01/03/2023
