Airline,Source,Destination,Duration,Total stops,Price,Date
Lufthansa,NYC,PAR,9h 10m ,1 stop ,"1,575 NIS ",02/03/2023
SAUDIA,NYC,PAR,5h 50m ,nonstop ,"2,168 NIS ",02/03/2023
"Ryanair, flynas",NYC,PAR,38h 05m ,3 stops ,"1,069 NIS ",02/03/2023
Lufthansa,NYC,PAR,9h 10m ,1 stop ,"1,544 NIS ",02/03/2023
Lufthansa,NYC,PAR,10h 10m ,1 stop ,"1,544 NIS ",02/03/2023
Egypt Air,NYC,PAR,10h 50m ,1 stop ,"1,599 NIS ",02/03/2023
"Transavia France, SAUDIA",NYC,PAR,10h 55m ,1 stop ,"1,720 NIS ",02/03/2023
Turkish Airlines,NYC,PAR,9h 05m ,1 stop ,"1,811 NIS ",03/03/2023
Turkish Airlines,NYC,PAR,11h 55m ,1 stop ,"1,811 NIS ",03/03/2023
Turkish Airlines,NYC,PAR,16h 40m ,1 stop ,"1,811 NIS ",03/03/2023
"Air Europa, SAUDIA",NYC,PAR,10h 55m ,1 stop ,"1,960 NIS ",03/03/2023
British Airways,NYC,PAR,9h 00m ,1 stop ,"2,018 NIS ",03/03/2023
"Iberia Express, SAUDIA",NYC,PAR,13h 00m ,1 stop ,"1,854 NIS ",03/03/2023
"Transavia France, MEA",NYC,PAR,10h 10m ,1 stop ,"1,997 NIS ",03/03/2023
British Airways,NYC,PAR,10h 10m ,1 stop ,"2,018 NIS ",03/03/2023
British Airways,NYC,PAR,13h 35m ,1 stop ,"2,018 NIS ",03/03/2023
"Iberia, SAUDIA",NYC,PAR,10h 45m ,1 stop ,"2,024 NIS ",03/03/2023
Etihad Airways,NYC,PAR,11h 00m ,1 stop ,"2,098 NIS ",03/03/2023
Emirates,NYC,PAR,10h 00m ,1 stop ,"2,300 NIS ",03/03/2023
Emirates,NYC,PAR,14h 25m ,1 stop ,"2,300 NIS ",03/03/2023
Emirates,NYC,PAR,15h 35m ,1 stop ,"2,300 NIS ",03/03/2023
Emirates,NYC,PAR,16h 25m ,1 stop ,"2,300 NIS ",03/03/2023
Emirates,NYC,PAR,19h 15m ,1 stop ,"2,300 NIS ",03/03/2023
SAUDIA,NYC,PAR,10h 00m ,1 stop ,"2,344 NIS ",03/03/2023
SAUDIA,NYC,PAR,12h 55m ,1 stop ,"2,344 NIS ",03/03/2023
SAUDIA,NYC,PAR,13h 55m ,1 stop ,"2,344 NIS ",03/03/2023
SAUDIA,NYC,PAR,14h 55m ,1 stop ,"2,344 NIS ",03/03/2023
SAUDIA,NYC,PAR,15h 55m ,1 stop ,"2,344 NIS ",03/03/2023
SAUDIA,NYC,PAR,16h 55m ,1 stop ,"2,344 NIS ",03/03/2023
SAUDIA,NYC,PAR,17h 55m ,1 stop ,"2,344 NIS ",03/03/2023
Qatar Airways,NYC,PAR,9h 35m ,1 stop ,"2,350 NIS ",03/03/2023
Qatar Airways,NYC,PAR,14h 20m ,1 stop ,"2,350 NIS ",03/03/2023
Qatar Airways,NYC,PAR,16h 15m ,1 stop ,"2,350 NIS ",03/03/2023
MEA,NYC,PAR,16h 25m ,1 stop ,"2,196 NIS ",03/03/2023
SAUDIA,NYC,PAR,18h 55m ,1 stop ,"2,344 NIS ",03/03/2023
"Air France, KLM",NYC,PAR,27h 05m ,1 stop ,"2,481 NIS ",03/03/2023
"Air France, KLM",NYC,PAR,28h 25m ,1 stop ,"2,481 NIS ",03/03/2023
"Air France, KLM",NYC,PAR,24h 25m ,1 stop ,"2,497 NIS ",03/03/2023
"Air France, KLM",NYC,PAR,26h 40m ,1 stop ,"2,497 NIS ",03/03/2023
"Air France, Egypt Air",NYC,PAR,10h 00m ,1 stop ,"2,740 NIS ",03/03/2023
Royal Air Maroc,NYC,PAR,11h 25m ,1 stop ,"3,154 NIS ",03/03/2023
Royal Air Maroc,NYC,PAR,15h 50m ,1 stop ,"3,154 NIS ",03/03/2023
Royal Air Maroc,NYC,PAR,10h 15m ,1 stop ,"3,165 NIS ",03/03/2023
"easyJet, Egypt Air",NYC,PAR,17h 05m ,2 stops ,"1,206 NIS ",03/03/2023
"Wizz Air, Etihad Airways",NYC,PAR,15h 50m ,2 stops ,"1,320 NIS ",03/03/2023
Multiple Airlines,NYC,PAR,15h 30m ,2 stops ,"1,358 NIS ",03/03/2023
"Ukraine International Airlines, SAUDIA",NYC,PAR,13h 50m ,2 stops ,"1,457 NIS ",03/03/2023
Multiple Airlines,NYC,PAR,15h 45m ,2 stops ,"1,502 NIS ",03/03/2023
"Ukraine International Airlines, flynas",NYC,PAR,16h 40m ,2 stops ,"1,619 NIS ",03/03/2023
"Nouvelair, Qatar Airways",NYC,PAR,13h 10m ,2 stops ,"1,689 NIS ",03/03/2023
"Tunisair, flynas",NYC,PAR,13h 00m ,2 stops ,"1,696 NIS ",03/03/2023
Multiple Airlines,NYC,PAR,14h 10m ,2 stops ,"1,701 NIS ",03/03/2023
"Turkish Airlines, Royal Jordanian",NYC,PAR,13h 05m ,2 stops ,"1,729 NIS ",03/03/2023
Multiple Airlines,NYC,PAR,13h 20m ,2 stops ,"1,803 NIS ",03/03/2023
Lufthansa,NYC,PAR,11h 45m ,2 stops ,"1,808 NIS ",03/03/2023
Lufthansa,NYC,PAR,11h 45m ,2 stops ,"1,808 NIS ",03/03/2023
Lufthansa,NYC,PAR,11h 45m ,2 stops ,"1,808 NIS ",03/03/2023
Multiple Airlines,NYC,PAR,12h 45m ,2 stops ,"1,813 NIS ",03/03/2023
"Tunisair, Egypt Air",NYC,PAR,14h 20m ,2 stops ,"1,835 NIS ",03/03/2023
"Air France, Egypt Air",NYC,PAR,15h 40m ,2 stops ,"1,843 NIS ",03/03/2023
