Airline,Source,Destination,Duration,Total stops,Price,Date
TAP AIR PORTUGAL,NYC,PAR,12h 50m ,1 stop ,"1,423 NIS ",01/03/2023
Iberia,NYC,PAR,8h 40m ,nonstop ,"1,547 NIS ",01/03/2023
"Air Transat, Air Canada",NYC,PAR,11h 39m ,1 stop ,"1,205 NIS ",01/03/2023
Brussels Airlines,NYC,PAR,8h 20m ,nonstop ,"1,636 NIS ",01/03/2023
Air France,NYC,PAR,8h 25m ,nonstop ,"1,675 NIS ",01/03/2023
"Air Transat, Air Canada",NYC,PAR,11h 51m ,1 stop ,"1,279 NIS ",01/03/2023
"Air Transat, Air Canada",NYC,PAR,13h 54m ,1 stop ,"1,352 NIS ",01/03/2023
"Air Transat, Air Canada",NYC,PAR,11h 51m ,1 stop ,"1,357 NIS ",01/03/2023
TAP AIR PORTUGAL,NYC,PAR,12h 50m ,1 stop ,"1,423 NIS ",01/03/2023
TAP AIR PORTUGAL,NYC,PAR,13h 30m ,1 stop ,"1,423 NIS ",01/03/2023
TAP AIR PORTUGAL,NYC,PAR,14h 50m ,1 stop ,"1,423 NIS ",01/03/2023
Icelandair,NYC,PAR,11h 00m ,1 stop ,"1,455 NIS ",01/03/2023
Icelandair,NYC,PAR,11h 00m ,1 stop ,"1,455 NIS ",01/03/2023
"Vueling, Finnair",NYC,PAR,12h 40m ,1 stop ,"1,489 NIS ",01/03/2023
Brussels Airlines,NYC,PAR,10h 45m ,1 stop ,"1,490 NIS ",01/03/2023
SWISS,NYC,PAR,11h 20m ,1 stop ,"1,492 NIS ",01/03/2023
SWISS,NYC,PAR,11h 35m ,1 stop ,"1,492 NIS ",01/03/2023
SWISS,NYC,PAR,12h 10m ,1 stop ,"1,492 NIS ",01/03/2023
"Iberia Express, Finnair",NYC,PAR,13h 05m ,1 stop ,"1,499 NIS ",01/03/2023
Iberia,NYC,PAR,13h 00m ,1 stop ,"1,543 NIS ",01/03/2023
KLM,NYC,PAR,11h 00m ,1 stop ,"1,558 NIS ",01/03/2023
Iberia,NYC,PAR,12h 50m ,1 stop ,"1,573 NIS ",01/03/2023
Aer Lingus,NYC,PAR,12h 05m ,1 stop ,"1,587 NIS ",01/03/2023
Iberia,NYC,PAR,12h 50m ,1 stop ,"1,589 NIS ",01/03/2023
Iberia,NYC,PAR,13h 35m ,1 stop ,"1,589 NIS ",01/03/2023
Iberia,NYC,PAR,14h 00m ,1 stop ,"1,589 NIS ",01/03/2023
"Iberia, Finnair",NYC,PAR,12h 50m ,1 stop ,"1,626 NIS ",01/03/2023
"Iberia, Finnair",NYC,PAR,14h 00m ,1 stop ,"1,637 NIS ",01/03/2023
SWISS,NYC,PAR,12h 15m ,1 stop ,"1,644 NIS ",01/03/2023
Lufthansa,NYC,PAR,11h 00m ,1 stop ,"1,740 NIS ",01/03/2023
"Lufthansa, Air Canada",NYC,PAR,10h 06m ,1 stop ,"1,770 NIS ",01/03/2023
