Airline,Source,Destination,Duration,Total stops,Price,Date
Qatar Airways,TLV,GRU,8h 30m ,1 stop ,"1,623 NIS ",01/03/2023
Qatar Airways,TLV,GRU,8h 30m ,1 stop ,"1,531 NIS ",01/03/2023
"Aeroflot, flynas",TLV,GRU,20h 20m ,2 stops ,"1,415 NIS ",01/03/2023
"Aeroflot, flynas",TLV,GRU,15h 40m ,1 stop ,"1,439 NIS ",01/03/2023
"Aeroflot, Egypt Air",TLV,GRU,17h 00m ,1 stop ,"1,601 NIS ",01/03/2023
"Aeroflot, SAUDIA",TLV,GRU,14h 05m ,1 stop ,"1,658 NIS ",01/03/2023
"Aeroflot, Egypt Air",TLV,GRU,10h 30m ,1 stop ,"1,814 NIS ",01/03/2023
Qatar Airways,TLV,GRU,20h 30m ,1 stop ,"1,545 NIS ",01/03/2023
"Aeroflot, flynas",TLV,GRU,12h 00m ,1 stop ,"1,899 NIS ",01/03/2023
"Aeroflot, SAUDIA",TLV,GRU,13h 35m ,1 stop ,"1,956 NIS ",01/03/2023
"Aeroflot, Turkish Airlines",TLV,GRU,15h 20m ,1 stop ,"2,172 NIS ",01/03/2023
"Air France, SAUDIA",TLV,GRU,12h 25m ,1 stop ,"2,402 NIS ",01/03/2023
"Aeroflot, flydubai",TLV,GRU,11h 35m ,1 stop ,"2,541 NIS ",01/03/2023
"Aeroflot, Gulf Air",TLV,GRU,17h 30m ,2 stops ,"1,642 NIS ",01/03/2023
"Nordwind Airlines, Egypt Air",TLV,GRU,19h 00m ,2 stops ,"1,826 NIS ",01/03/2023
"Aeroflot, Egypt Air",TLV,GRU,18h 30m ,2 stops ,"1,828 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,14h 40m ,2 stops ,"1,862 NIS ",01/03/2023
"Nordwind Airlines, Royal Jordanian",TLV,GRU,17h 30m ,2 stops ,"1,887 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,14h 00m ,2 stops ,"2,309 NIS ",01/03/2023
"Finnair, Qatar Airways",TLV,GRU,13h 05m ,2 stops ,"2,346 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,19h 00m ,2 stops ,"1,964 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,18h 25m ,2 stops ,"2,009 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,19h 15m ,3 stops ,"1,631 NIS ",01/03/2023
"Nordwind Airlines, Egypt Air",TLV,GRU,18h 30m ,3 stops ,"1,732 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,16h 00m ,3 stops ,"1,769 NIS ",01/03/2023
"Nordwind Airlines, Royal Jordanian",TLV,GRU,17h 00m ,3 stops ,"1,794 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,18h 30m ,3 stops ,"1,840 NIS ",01/03/2023
"Nordwind Airlines, Egypt Air",TLV,GRU,18h 30m ,3 stops ,"1,944 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,15h 45m ,3 stops ,"2,051 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,16h 00m ,2 stops ,"3,244 NIS ",01/03/2023
"KLM, SAUDIA",TLV,GRU,13h 45m ,2 stops ,"9,286 NIS ",01/03/2023
"Aeroflot, Emirates",TLV,GRU,15h 05m ,2 stops ,"16,063 NIS ",01/03/2023
"Aeroflot, Emirates",TLV,GRU,20h 40m ,2 stops ,"16,063 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,15h 40m ,2 stops ,"18,752 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,16h 40m ,2 stops ,"18,971 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,18h 00m ,2 stops ,"22,184 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,17h 10m ,2 stops ,"22,351 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,15h 10m ,2 stops ,"22,382 NIS ",01/03/2023
Multiple Airlines,TLV,GRU,18h 15m ,2 stops ,"26,139 NIS ",01/03/2023
Qatar Airways,TLV,GRU,8h 30m ,1 stop ,"1,623 NIS ",02/03/2023
Qatar Airways,TLV,GRU,8h 30m ,1 stop ,"1,531 NIS ",02/03/2023
"Finnair, flynas",TLV,GRU,15h 25m ,2 stops ,"1,198 NIS ",02/03/2023
"Aeroflot, Egypt Air",TLV,GRU,10h 30m ,1 stop ,"1,832 NIS ",02/03/2023
"Aeroflot, flynas",TLV,GRU,15h 40m ,1 stop ,"1,456 NIS ",02/03/2023
"Aeroflot, Egypt Air",TLV,GRU,17h 00m ,1 stop ,"1,546 NIS ",02/03/2023
"Aeroflot, SAUDIA",TLV,GRU,14h 05m ,1 stop ,"1,729 NIS ",02/03/2023
"Aeroflot, SAUDIA",TLV,GRU,13h 35m ,1 stop ,"1,893 NIS ",02/03/2023
"Aeroflot, flynas",TLV,GRU,12h 00m ,1 stop ,"1,897 NIS ",02/03/2023
Qatar Airways,TLV,GRU,20h 30m ,1 stop ,"1,545 NIS ",02/03/2023
"Nordwind Airlines, Turkish Airlines",TLV,GRU,16h 20m ,1 stop ,"1,961 NIS ",02/03/2023
"Aeroflot, Turkish Airlines",TLV,GRU,15h 20m ,1 stop ,"2,168 NIS ",02/03/2023
"Aeroflot, SAUDIA",TLV,GRU,13h 05m ,1 stop ,"2,425 NIS ",02/03/2023
"Aeroflot, SAUDIA",TLV,GRU,10h 45m ,1 stop ,"2,566 NIS ",02/03/2023
"Aeroflot, flydubai",TLV,GRU,11h 35m ,1 stop ,"2,539 NIS ",02/03/2023
KLM,TLV,GRU,17h 50m ,1 stop ,"2,637 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,14h 50m ,2 stops ,"1,550 NIS ",02/03/2023
"Nordwind Airlines, Royal Jordanian",TLV,GRU,12h 45m ,2 stops ,"1,755 NIS ",02/03/2023
"Aeroflot, flynas",TLV,GRU,20h 20m ,2 stops ,"1,432 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,19h 00m ,2 stops ,"1,577 NIS ",02/03/2023
"Aeroflot, Gulf Air",TLV,GRU,17h 30m ,2 stops ,"1,800 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,14h 40m ,2 stops ,"1,862 NIS ",02/03/2023
"airBaltic, flynas",TLV,GRU,14h 40m ,2 stops ,"1,862 NIS ",02/03/2023
"Aeroflot, Royal Jordanian",TLV,GRU,16h 20m ,2 stops ,"1,963 NIS ",02/03/2023
"Qatar Airways, flynas",TLV,GRU,13h 50m ,2 stops ,"2,320 NIS ",02/03/2023
"Finnair, Qatar Airways",TLV,GRU,13h 05m ,2 stops ,"2,346 NIS ",02/03/2023
"Nordwind Airlines, Royal Jordanian",TLV,GRU,20h 00m ,3 stops ,"1,616 NIS ",02/03/2023
"Nordwind Airlines, Royal Jordanian",TLV,GRU,20h 00m ,3 stops ,"1,616 NIS ",02/03/2023
"Nordwind Airlines, Egypt Air",TLV,GRU,15h 00m ,3 stops ,"1,656 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,19h 25m ,3 stops ,"1,674 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,16h 00m ,3 stops ,"1,769 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,18h 30m ,3 stops ,"1,772 NIS ",02/03/2023
"Nordwind Airlines, Royal Jordanian",TLV,GRU,18h 15m ,3 stops ,"1,812 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,19h 20m ,3 stops ,"1,838 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,18h 25m ,3 stops ,"1,844 NIS ",02/03/2023
"KLM, SAUDIA",TLV,GRU,13h 45m ,2 stops ,"9,287 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,18h 15m ,2 stops ,"12,821 NIS ",02/03/2023
"Aeroflot, Emirates",TLV,GRU,15h 05m ,2 stops ,"16,050 NIS ",02/03/2023
"Aeroflot, Emirates",TLV,GRU,20h 40m ,2 stops ,"16,050 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,16h 40m ,2 stops ,"17,548 NIS ",02/03/2023
Multiple Airlines,TLV,GRU,15h 40m ,2 stops ,"17,829 NIS ",02/03/2023
Qatar Airways,TLV,GRU,8h 30m ,1 stop ,"1,618 NIS ",03/03/2023
Qatar Airways,TLV,GRU,8h 30m ,1 stop ,"1,531 NIS ",03/03/2023
"Aeroflot, flynas",TLV,GRU,15h 40m ,1 stop ,"1,439 NIS ",03/03/2023
"Aeroflot, Air Arabia",TLV,GRU,12h 00m ,1 stop ,"1,495 NIS ",03/03/2023
"Aeroflot, SAUDIA",TLV,GRU,14h 05m ,1 stop ,"1,675 NIS ",03/03/2023
"Aeroflot, Egypt Air",TLV,GRU,10h 30m ,1 stop ,"2,002 NIS ",03/03/2023
Qatar Airways,TLV,GRU,20h 30m ,1 stop ,"1,545 NIS ",03/03/2023
"Aeroflot, SAUDIA",TLV,GRU,13h 35m ,1 stop ,"1,879 NIS ",03/03/2023
"Air France, SAUDIA",TLV,GRU,12h 25m ,1 stop ,"2,402 NIS ",03/03/2023
"Aeroflot, Turkish Airlines",TLV,GRU,15h 20m ,1 stop ,"2,127 NIS ",03/03/2023
"Aeroflot, Egypt Air",TLV,GRU,17h 00m ,1 stop ,"2,333 NIS ",03/03/2023
"Aeroflot, SAUDIA",TLV,GRU,13h 05m ,1 stop ,"2,415 NIS ",03/03/2023
"Aeroflot, SAUDIA",TLV,GRU,15h 15m ,1 stop ,"2,451 NIS ",03/03/2023
KLM,TLV,GRU,17h 50m ,1 stop ,"2,637 NIS ",03/03/2023
"Aeroflot, Gulf Air",TLV,GRU,17h 30m ,2 stops ,"1,750 NIS ",03/03/2023
"Nordwind Airlines, Royal Jordanian",TLV,GRU,17h 30m ,2 stops ,"1,797 NIS ",03/03/2023
"Nordwind Airlines, Egypt Air",TLV,GRU,19h 00m ,2 stops ,"1,835 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,14h 40m ,2 stops ,"1,862 NIS ",03/03/2023
"Aeroflot, Egypt Air",TLV,GRU,18h 35m ,2 stops ,"1,899 NIS ",03/03/2023
"Aeroflot, flydubai",TLV,GRU,19h 40m ,2 stops ,"2,125 NIS ",03/03/2023
"Finnair, Qatar Airways",TLV,GRU,13h 05m ,2 stops ,"2,346 NIS ",03/03/2023
Air France,TLV,GRU,16h 30m ,2 stops ,"2,704 NIS ",03/03/2023
Air France,TLV,GRU,16h 30m ,2 stops ,"2,704 NIS ",03/03/2023
"Nordwind Airlines, Royal Jordanian",TLV,GRU,17h 00m ,3 stops ,"1,866 NIS ",03/03/2023
"Nordwind Airlines, Egypt Air",TLV,GRU,18h 30m ,3 stops ,"1,904 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,19h 05m ,3 stops ,"2,015 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,16h 00m ,3 stops ,"2,072 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,15h 45m ,3 stops ,"2,077 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,16h 00m ,2 stops ,"3,230 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,15h 40m ,2 stops ,"3,682 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,16h 40m ,2 stops ,"3,877 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,17h 50m ,3 stops ,"3,781 NIS ",03/03/2023
"Aeroflot, MEA",TLV,GRU,20h 40m ,2 stops ,"14,326 NIS ",03/03/2023
"Aeroflot, Emirates",TLV,GRU,15h 05m ,2 stops ,"16,050 NIS ",03/03/2023
"Aeroflot, Emirates",TLV,GRU,20h 40m ,2 stops ,"16,050 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,16h 10m ,2 stops ,"19,475 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,17h 10m ,2 stops ,"19,549 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,14h 25m ,2 stops ,"21,578 NIS ",03/03/2023
Multiple Airlines,TLV,GRU,18h 15m ,2 stops ,"25,113 NIS ",03/03/2023
Qatar Airways,TLV,GRU,8h 30m ,1 stop ,"1,701 NIS ",04/03/2023
Qatar Airways,TLV,GRU,8h 30m ,1 stop ,"1,619 NIS ",04/03/2023
"Finnair, flynas",TLV,GRU,20h 10m ,2 stops ,"1,501 NIS ",04/03/2023
"Aeroflot, SAUDIA",TLV,GRU,14h 05m ,1 stop ,"1,711 NIS ",04/03/2023
"Aeroflot, Egypt Air",TLV,GRU,10h 30m ,1 stop ,"1,810 NIS ",04/03/2023
Qatar Airways,TLV,GRU,20h 30m ,1 stop ,"1,633 NIS ",04/03/2023
"Aeroflot, flynas",TLV,GRU,15h 40m ,1 stop ,"1,717 NIS ",04/03/2023
"Aeroflot, Egypt Air",TLV,GRU,17h 00m ,1 stop ,"1,870 NIS ",04/03/2023
"Aeroflot, flynas",TLV,GRU,12h 00m ,1 stop ,"1,977 NIS ",04/03/2023
"Nordwind Airlines, Turkish Airlines",TLV,GRU,11h 35m ,1 stop ,"2,010 NIS ",04/03/2023
"Aeroflot, Turkish Airlines",TLV,GRU,10h 35m ,1 stop ,"2,174 NIS ",04/03/2023
"Aeroflot, Emirates",TLV,GRU,10h 10m ,1 stop ,"2,486 NIS ",04/03/2023
"Aeroflot, MEA",TLV,GRU,15h 00m ,1 stop ,"2,506 NIS ",04/03/2023
"Aeroflot, Turkish Airlines",TLV,GRU,15h 10m ,1 stop ,"2,414 NIS ",04/03/2023
