Airline,Source,Destination,Duration,Total stops,Price,Date
Air Serbia,TLV,MEX,25h 20m ,1 stop ,504 NIS ,01/03/2023
Air France,TLV,MEX,4h 10m ,nonstop ,608 NIS ,01/03/2023
Air Serbia,TLV,MEX,25h 20m ,1 stop ,433 NIS ,01/03/2023
Air France,TLV,MEX,4h 05m ,nonstop ,"1,038 NIS ",01/03/2023
Air France,TLV,MEX,4h 10m ,nonstop ,"1,038 NIS ",01/03/2023
Air France,TLV,MEX,4h 20m ,nonstop ,"1,079 NIS ",01/03/2023
Finnair,TLV,MEX,6h 35m ,1 stop ,437 NIS ,01/03/2023
Finnair,TLV,MEX,10h 50m ,1 stop ,437 NIS ,01/03/2023
Finnair,TLV,MEX,14h 45m ,1 stop ,437 NIS ,01/03/2023
"Nordwind Airlines, Wizz Air",TLV,MEX,14h 10m ,1 stop ,462 NIS ,01/03/2023
LOT,TLV,MEX,6h 35m ,1 stop ,577 NIS ,01/03/2023
LOT,TLV,MEX,10h 45m ,1 stop ,577 NIS ,01/03/2023
KLM,TLV,MEX,5h 50m ,1 stop ,643 NIS ,01/03/2023
KLM,TLV,MEX,6h 05m ,1 stop ,643 NIS ,01/03/2023
KLM,TLV,MEX,7h 25m ,1 stop ,643 NIS ,01/03/2023
KLM,TLV,MEX,8h 15m ,1 stop ,643 NIS ,01/03/2023
KLM,TLV,MEX,10h 10m ,1 stop ,643 NIS ,01/03/2023
LOT,TLV,MEX,14h 40m ,1 stop ,577 NIS ,01/03/2023
KLM,TLV,MEX,11h 45m ,1 stop ,643 NIS ,01/03/2023
KLM,TLV,MEX,14h 20m ,1 stop ,643 NIS ,01/03/2023
KLM,TLV,MEX,15h 55m ,1 stop ,643 NIS ,01/03/2023
"Aeroflot, easyJet",TLV,MEX,12h 40m ,1 stop ,783 NIS ,01/03/2023
"Pobeda, Finnair",TLV,MEX,9h 55m ,2 stops ,599 NIS ,01/03/2023
"Aeroflot, Finnair",TLV,MEX,7h 45m ,2 stops ,630 NIS ,01/03/2023
"Aeroflot, Finnair",TLV,MEX,8h 20m ,2 stops ,630 NIS ,01/03/2023
"Aeroflot, Finnair",TLV,MEX,9h 55m ,2 stops ,630 NIS ,01/03/2023
"Aeroflot, Finnair",TLV,MEX,12h 00m ,2 stops ,630 NIS ,01/03/2023
"Aeroflot, Finnair",TLV,MEX,12h 35m ,2 stops ,630 NIS ,01/03/2023
"Aeroflot, Ryanair",TLV,MEX,11h 55m ,2 stops ,682 NIS ,01/03/2023
"Finnair, Vueling",TLV,MEX,10h 55m ,2 stops ,699 NIS ,01/03/2023
Multiple Airlines,TLV,MEX,15h 05m ,3 stops ,675 NIS ,01/03/2023
Multiple Airlines,TLV,MEX,15h 40m ,3 stops ,675 NIS ,01/03/2023
Multiple Airlines,TLV,MEX,15h 20m ,3 stops ,798 NIS ,01/03/2023
"KLM, Ryanair",TLV,MEX,16h 05m ,3 stops ,816 NIS ,01/03/2023
KLM,TLV,MEX,16h 10m ,2 stops ,"4,957 NIS ",01/03/2023
Qatar Airways,TLV,MEX,14h 25m ,1 stop ,"5,651 NIS ",01/03/2023
"KLM, Brussels Airlines",TLV,MEX,15h 45m ,2 stops ,"6,591 NIS ",01/03/2023
"Aeroflot, KLM",TLV,MEX,7h 55m ,1 stop ,"12,499 NIS ",01/03/2023
"Aeroflot, KLM",TLV,MEX,5h 50m ,1 stop ,"12,541 NIS ",01/03/2023
"Aeroflot, KLM",TLV,MEX,7h 25m ,1 stop ,"12,541 NIS ",01/03/2023
"Aeroflot, KLM",TLV,MEX,8h 15m ,1 stop ,"12,541 NIS ",01/03/2023
Air France,TLV,MEX,4h 10m ,nonstop ,606 NIS ,02/03/2023
Finnair,TLV,MEX,7h 50m ,1 stop ,395 NIS ,02/03/2023
Aeroflot,TLV,MEX,4h 10m ,nonstop ,"1,056 NIS ",02/03/2023
Finnair,TLV,MEX,6h 35m ,1 stop ,435 NIS ,02/03/2023
Aeroflot,TLV,MEX,4h 10m ,nonstop ,"1,111 NIS ",02/03/2023
Finnair,TLV,MEX,11h 40m ,1 stop ,395 NIS ,02/03/2023
Finnair,TLV,MEX,15h 55m ,1 stop ,395 NIS ,02/03/2023
Finnair,TLV,MEX,10h 50m ,1 stop ,435 NIS ,02/03/2023
Finnair,TLV,MEX,14h 45m ,1 stop ,435 NIS ,02/03/2023
Air Serbia,TLV,MEX,6h 45m ,1 stop ,518 NIS ,02/03/2023
LOT,TLV,MEX,6h 35m ,1 stop ,577 NIS ,02/03/2023
airBaltic,TLV,MEX,13h 25m ,1 stop ,485 NIS ,02/03/2023
LOT,TLV,MEX,10h 45m ,1 stop ,577 NIS ,02/03/2023
LOT,TLV,MEX,14h 40m ,1 stop ,577 NIS ,02/03/2023
KLM,TLV,MEX,5h 50m ,1 stop ,643 NIS ,02/03/2023
KLM,TLV,MEX,6h 05m ,1 stop ,643 NIS ,02/03/2023
KLM,TLV,MEX,7h 25m ,1 stop ,643 NIS ,02/03/2023
KLM,TLV,MEX,8h 15m ,1 stop ,643 NIS ,02/03/2023
KLM,TLV,MEX,10h 10m ,1 stop ,643 NIS ,02/03/2023
KLM,TLV,MEX,11h 45m ,1 stop ,643 NIS ,02/03/2023
KLM,TLV,MEX,14h 20m ,1 stop ,643 NIS ,02/03/2023
KLM,TLV,MEX,15h 55m ,1 stop ,643 NIS ,02/03/2023
KLM,TLV,MEX,16h 15m ,1 stop ,643 NIS ,02/03/2023
"Aeroflot, Wizz Air",TLV,MEX,12h 15m ,1 stop ,657 NIS ,02/03/2023
"KLM, Air France",TLV,MEX,17h 40m ,1 stop ,701 NIS ,02/03/2023
"Finnair, Ryanair",TLV,MEX,10h 10m ,2 stops ,596 NIS ,02/03/2023
"Pobeda, Finnair",TLV,MEX,9h 55m ,2 stops ,599 NIS ,02/03/2023
"Aeroflot, Finnair",TLV,MEX,9h 55m ,2 stops ,630 NIS ,02/03/2023
"Aeroflot, Finnair",TLV,MEX,12h 00m ,2 stops ,630 NIS ,02/03/2023
"Aeroflot, Finnair",TLV,MEX,12h 35m ,2 stops ,630 NIS ,02/03/2023
"Nordwind Airlines, Turkish Airlines",TLV,MEX,13h 35m ,2 stops ,722 NIS ,02/03/2023
KLM,TLV,MEX,6h 55m ,1 stop ,"1,170 NIS ",02/03/2023
Multiple Airlines,TLV,MEX,16h 05m ,2 stops ,499 NIS ,02/03/2023
Multiple Airlines,TLV,MEX,14h 30m ,3 stops ,588 NIS ,02/03/2023
"Finnair, Ryanair",TLV,MEX,14h 50m ,3 stops ,630 NIS ,02/03/2023
Multiple Airlines,TLV,MEX,13h 00m ,3 stops ,675 NIS ,02/03/2023
"Finnair, Ryanair",TLV,MEX,13h 25m ,3 stops ,715 NIS ,02/03/2023
"Finnair, Lufthansa",TLV,MEX,13h 25m ,3 stops ,738 NIS ,02/03/2023
KLM,TLV,MEX,16h 10m ,2 stops ,"4,957 NIS ",02/03/2023
Qatar Airways,TLV,MEX,14h 25m ,1 stop ,"5,651 NIS ",02/03/2023
"Czech Airlines, Lufthansa",TLV,MEX,8h 10m ,2 stops ,"9,068 NIS ",02/03/2023
"Aeroflot, KLM",TLV,MEX,7h 55m ,1 stop ,"12,499 NIS ",02/03/2023
"Aeroflot, KLM",TLV,MEX,8h 00m ,1 stop ,"12,499 NIS ",02/03/2023
"Aeroflot, KLM",TLV,MEX,9h 15m ,1 stop ,"12,499 NIS ",02/03/2023
"Aeroflot, KLM",TLV,MEX,5h 50m ,1 stop ,"12,541 NIS ",02/03/2023
"Aeroflot, KLM",TLV,MEX,7h 25m ,1 stop ,"12,541 NIS ",02/03/2023
"Aeroflot, KLM",TLV,MEX,8h 15m ,1 stop ,"12,541 NIS ",02/03/2023
Air Serbia,TLV,MEX,14h 20m ,1 stop ,504 NIS ,03/03/2023
Air France,TLV,MEX,4h 20m ,nonstop ,606 NIS ,03/03/2023
Finnair,TLV,MEX,9h 35m ,1 stop ,395 NIS ,03/03/2023
Air France,TLV,MEX,4h 10m ,nonstop ,608 NIS ,03/03/2023
Aeroflot,TLV,MEX,4h 10m ,nonstop ,"1,056 NIS ",03/03/2023
Finnair,TLV,MEX,6h 35m ,1 stop ,435 NIS ,03/03/2023
Finnair,TLV,MEX,13h 50m ,1 stop ,395 NIS ,03/03/2023
Finnair,TLV,MEX,10h 50m ,1 stop ,435 NIS ,03/03/2023
airBaltic,TLV,MEX,8h 55m ,1 stop ,485 NIS ,03/03/2023
LOT,TLV,MEX,6h 35m ,1 stop ,577 NIS ,03/03/2023
KLM,TLV,MEX,5h 50m ,1 stop ,643 NIS ,03/03/2023
KLM,TLV,MEX,6h 05m ,1 stop ,643 NIS ,03/03/2023
KLM,TLV,MEX,7h 25m ,1 stop ,643 NIS ,03/03/2023
KLM,TLV,MEX,8h 15m ,1 stop ,643 NIS ,03/03/2023
Air Serbia,TLV,MEX,14h 20m ,1 stop ,433 NIS ,03/03/2023
Finnair,TLV,MEX,14h 45m ,1 stop ,435 NIS ,03/03/2023
LOT,TLV,MEX,10h 45m ,1 stop ,577 NIS ,03/03/2023
LOT,TLV,MEX,14h 40m ,1 stop ,577 NIS ,03/03/2023
KLM,TLV,MEX,10h 10m ,1 stop ,643 NIS ,03/03/2023
KLM,TLV,MEX,11h 45m ,1 stop ,643 NIS ,03/03/2023
KLM,TLV,MEX,14h 20m ,1 stop ,643 NIS ,03/03/2023
KLM,TLV,MEX,15h 55m ,1 stop ,643 NIS ,03/03/2023
"Pobeda, Finnair",TLV,MEX,9h 55m ,2 stops ,599 NIS ,03/03/2023
Multiple Airlines,TLV,MEX,14h 15m ,2 stops ,618 NIS ,03/03/2023
"Aeroflot, Finnair",TLV,MEX,7h 45m ,2 stops ,630 NIS ,03/03/2023
"Aeroflot, Finnair",TLV,MEX,8h 20m ,2 stops ,630 NIS ,03/03/2023
"Aeroflot, Finnair",TLV,MEX,9h 55m ,2 stops ,630 NIS ,03/03/2023
KLM,TLV,MEX,16h 15m ,1 stop ,643 NIS ,03/03/2023
"airBaltic, Vueling",TLV,MEX,13h 40m ,2 stops ,656 NIS ,03/03/2023
"KLM, Air France",TLV,MEX,17h 40m ,1 stop ,701 NIS ,03/03/2023
Aeroflot,TLV,MEX,13h 55m ,1 stop ,747 NIS ,03/03/2023
Aeroflot,TLV,MEX,14h 30m ,1 stop ,747 NIS ,03/03/2023
"Aeroflot, Transavia France",TLV,MEX,9h 55m ,1 stop ,885 NIS ,03/03/2023
"Aeroflot, Vueling",TLV,MEX,9h 50m ,1 stop ,967 NIS ,03/03/2023
LOT,TLV,MEX,9h 00m ,1 stop ,"1,015 NIS ",03/03/2023
LOT,TLV,MEX,13h 10m ,1 stop ,"1,015 NIS ",03/03/2023
Aeroflot,TLV,MEX,15h 00m ,1 stop ,"1,231 NIS ",03/03/2023
Aeroflot,TLV,MEX,16h 05m ,1 stop ,"1,231 NIS ",03/03/2023
Aeroflot,TLV,MEX,7h 20m ,1 stop ,"1,280 NIS ",03/03/2023
Aeroflot,TLV,MEX,7h 30m ,1 stop ,"1,280 NIS ",03/03/2023
Aeroflot,TLV,MEX,8h 15m ,1 stop ,"1,280 NIS ",03/03/2023
Aeroflot,TLV,MEX,9h 15m ,1 stop ,"1,280 NIS ",03/03/2023
Aeroflot,TLV,MEX,10h 25m ,1 stop ,"1,280 NIS ",03/03/2023
Aeroflot,TLV,MEX,11h 05m ,1 stop ,"1,280 NIS ",03/03/2023
Aeroflot,TLV,MEX,12h 20m ,1 stop ,"1,280 NIS ",03/03/2023
"Finnair, Vueling",TLV,MEX,13h 55m ,2 stops ,659 NIS ,03/03/2023
"Aeroflot, Ryanair",TLV,MEX,14h 30m ,2 stops ,671 NIS ,03/03/2023
"Aeroflot, Ryanair",TLV,MEX,14h 00m ,2 stops ,712 NIS ,03/03/2023
Multiple Airlines,TLV,MEX,13h 30m ,3 stops ,768 NIS ,03/03/2023
Multiple Airlines,TLV,MEX,15h 15m ,3 stops ,786 NIS ,03/03/2023
Multiple Airlines,TLV,MEX,15h 35m ,3 stops ,833 NIS ,03/03/2023
Multiple Airlines,TLV,MEX,16h 10m ,3 stops ,833 NIS ,03/03/2023
KLM,TLV,MEX,16h 10m ,2 stops ,"4,957 NIS ",03/03/2023
Qatar Airways,TLV,MEX,14h 25m ,1 stop ,"5,735 NIS ",03/03/2023
"Aeroflot, KLM",TLV,MEX,5h 50m ,1 stop ,"12,541 NIS ",03/03/2023
"Aeroflot, KLM",TLV,MEX,7h 25m ,1 stop ,"12,541 NIS ",03/03/2023
"Aeroflot, KLM",TLV,MEX,8h 15m ,1 stop ,"12,541 NIS ",03/03/2023
Air Serbia,TLV,MEX,6h 45m ,1 stop ,592 NIS ,04/03/2023
Air France,TLV,MEX,4h 10m ,nonstop ,608 NIS ,04/03/2023
Finnair,TLV,MEX,6h 35m ,1 stop ,437 NIS ,04/03/2023
Aeroflot,TLV,MEX,4h 05m ,nonstop ,"1,056 NIS ",04/03/2023
Aeroflot,TLV,MEX,4h 10m ,nonstop ,"1,056 NIS ",04/03/2023
Air Serbia,TLV,MEX,6h 45m ,1 stop ,518 NIS ,04/03/2023
LOT,TLV,MEX,6h 35m ,1 stop ,577 NIS ,04/03/2023
KLM,TLV,MEX,5h 50m ,1 stop ,643 NIS ,04/03/2023
KLM,TLV,MEX,6h 05m ,1 stop ,643 NIS ,04/03/2023
Finnair,TLV,MEX,10h 50m ,1 stop ,437 NIS ,04/03/2023
Finnair,TLV,MEX,14h 45m ,1 stop ,437 NIS ,04/03/2023
LOT,TLV,MEX,10h 45m ,1 stop ,577 NIS ,04/03/2023
KLM,TLV,MEX,7h 25m ,1 stop ,643 NIS ,04/03/2023
KLM,TLV,MEX,8h 15m ,1 stop ,643 NIS ,04/03/2023
KLM,TLV,MEX,10h 10m ,1 stop ,643 NIS ,04/03/2023
KLM,TLV,MEX,11h 45m ,1 stop ,643 NIS ,04/03/2023
"Aeroflot, Ryanair",TLV,MEX,6h 35m ,1 stop ,645 NIS ,04/03/2023
Aeroflot,TLV,MEX,6h 40m ,1 stop ,726 NIS ,04/03/2023
Aeroflot,TLV,MEX,7h 10m ,1 stop ,726 NIS ,04/03/2023
LOT,TLV,MEX,5h 35m ,1 stop ,"1,015 NIS ",04/03/2023
LOT,TLV,MEX,14h 40m ,1 stop ,577 NIS ,04/03/2023
"Aeroflot, Finnair",TLV,MEX,7h 45m ,2 stops ,630 NIS ,04/03/2023
"Aeroflot, Finnair",TLV,MEX,8h 20m ,2 stops ,630 NIS ,04/03/2023
"Finnair, Ryanair",TLV,MEX,10h 25m ,2 stops ,630 NIS ,04/03/2023
KLM,TLV,MEX,14h 20m ,1 stop ,643 NIS ,04/03/2023
KLM,TLV,MEX,15h 55m ,1 stop ,643 NIS ,04/03/2023
"Aeroflot, Finnair",TLV,MEX,9h 55m ,2 stops ,683 NIS ,04/03/2023
"Aeroflot, Wizz Air",TLV,MEX,12h 15m ,1 stop ,696 NIS ,04/03/2023
Bulgaria Air,TLV,MEX,14h 25m ,1 stop ,813 NIS ,04/03/2023
LOT,TLV,MEX,9h 45m ,1 stop ,"1,015 NIS ",04/03/2023
Aeroflot,TLV,MEX,11h 50m ,1 stop ,"1,231 NIS ",04/03/2023
