Airline,Source,Destination,Duration,Total stops,Price,Date
Air France,TLV,OSL,7h 20m ,nonstop ,"1,031 NIS",01/03/2023
Air France,TLV,OSL,7h 20m ,nonstop ,"1,031 NIS",01/03/2023
Air France,TLV,OSL,7h 20m ,nonstop ,"1,031 NIS",01/03/2023
Air France,TLV,OSL,7h 10m ,nonstop ,"1,238 NIS",01/03/2023
Air France,TLV,OSL,7h 20m ,nonstop ,"1,238 NIS",01/03/2023
Air France,TLV,OSL,7h 30m ,nonstop ,"1,238 NIS",01/03/2023
Air France,TLV,OSL,7h 30m ,nonstop ,"1,238 NIS",01/03/2023
Lufthansa,TLV,OSL,7h 05m ,nonstop ,"1,353 NIS",01/03/2023
American Airlines,TLV,OSL,7h 20m ,nonstop ,"1,353 NIS",01/03/2023
United Airlines,TLV,OSL,7h 05m ,nonstop ,"1,358 NIS",01/03/2023
JetBlue,TLV,OSL,7h 20m ,nonstop ,"1,634 NIS",01/03/2023
TAP AIR PORTUGAL,TLV,OSL,10h 55m ,1 stop ,"1,027 NIS",01/03/2023
"Finnair, Iberia",TLV,OSL,10h 55m ,1 stop ,"1,080 NIS",01/03/2023
"Finnair, Air France",TLV,OSL,10h 15m ,1 stop ,"1,193 NIS",01/03/2023
SAS,TLV,OSL,11h 00m ,1 stop ,"1,315 NIS",01/03/2023
"TAP AIR PORTUGAL, Vueling",TLV,OSL,16h 35m ,1 stop ,"1,007 NIS",01/03/2023
"Finnair, Air Europa",TLV,OSL,16h 20m ,1 stop ,"1,039 NIS",01/03/2023
"TAP AIR PORTUGAL, Transavia France",TLV,OSL,12h 50m ,1 stop ,"1,063 NIS",01/03/2023
"Finnair, Iberia",TLV,OSL,10h 55m ,1 stop ,"1,080 NIS",01/03/2023
"Finnair, Iberia",TLV,OSL,13h 40m ,1 stop ,"1,080 NIS",01/03/2023
"Finnair, Air France",TLV,OSL,10h 15m ,1 stop ,"1,193 NIS",01/03/2023
"Finnair, Air France",TLV,OSL,11h 35m ,1 stop ,"1,257 NIS",01/03/2023
SAS,TLV,OSL,11h 00m ,1 stop ,"1,315 NIS",01/03/2023
United Airlines,TLV,OSL,9h 05m ,1 stop ,"1,358 NIS",01/03/2023
United Airlines,TLV,OSL,10h 09m ,1 stop ,"1,358 NIS",01/03/2023
United Airlines,TLV,OSL,10h 23m ,1 stop ,"1,358 NIS",01/03/2023
United Airlines,TLV,OSL,10h 50m ,1 stop ,"1,358 NIS",01/03/2023
United Airlines,TLV,OSL,11h 00m ,1 stop ,"1,358 NIS",01/03/2023
United Airlines,TLV,OSL,11h 40m ,1 stop ,"1,358 NIS",01/03/2023
United Airlines,TLV,OSL,11h 55m ,1 stop ,"1,358 NIS",01/03/2023
United Airlines,TLV,OSL,12h 40m ,1 stop ,"1,358 NIS",01/03/2023
United Airlines,TLV,OSL,12h 41m ,1 stop ,"1,358 NIS",01/03/2023
Delta,TLV,OSL,10h 10m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,11h 00m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,11h 05m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,11h 25m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,11h 30m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,11h 40m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,11h 40m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,11h 45m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,11h 46m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,11h 55m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,12h 10m ,1 stop ,"1,370 NIS",01/03/2023
Delta,TLV,OSL,12h 20m ,1 stop ,"1,370 NIS",01/03/2023
Air Canada,TLV,OSL,12h 04m ,1 stop ,"1,374 NIS",01/03/2023
Virgin Atlantic,TLV,OSL,11h 25m ,1 stop ,"1,377 NIS",01/03/2023
Air Canada,TLV,OSL,10h 05m ,1 stop ,"1,383 NIS",01/03/2023
Air Canada,TLV,OSL,11h 05m ,1 stop ,"1,383 NIS",01/03/2023
American Airlines,TLV,OSL,10h 55m ,1 stop ,"1,405 NIS",01/03/2023
Iberia,TLV,OSL,10h 55m ,1 stop ,"1,411 NIS",01/03/2023
