Airline,Source,Destination,Duration,Total stops,Price,Date
Air Serbia,YYZ,BKK,6h 15m ,1 stop ,774 NIS ,01/03/2023
Aeroflot,YYZ,BKK,3h 45m ,nonstop ,"1,155 NIS ",01/03/2023
Aeroflot,YYZ,BKK,4h 10m ,nonstop ,"1,184 NIS ",01/03/2023
Aeroflot,YYZ,BKK,3h 55m ,nonstop ,"1,207 NIS ",01/03/2023
Finnair,YYZ,BKK,7h 20m ,1 stop ,589 NIS ,01/03/2023
Finnair,YYZ,BKK,10h 35m ,1 stop ,589 NIS ,01/03/2023
Air Serbia,YYZ,BKK,6h 15m ,1 stop ,696 NIS ,01/03/2023
Finnair,YYZ,BKK,16h 05m ,1 stop ,547 NIS ,01/03/2023
"airBaltic, Aeroflot",YYZ,BKK,7h 25m ,1 stop ,805 NIS ,01/03/2023
LOT,YYZ,BKK,7h 30m ,1 stop ,809 NIS ,01/03/2023
LOT,YYZ,BKK,11h 10m ,1 stop ,809 NIS ,01/03/2023
"easyJet, Aeroflot",YYZ,BKK,7h 15m ,1 stop ,872 NIS ,01/03/2023
"Ryanair, Aeroflot",YYZ,BKK,9h 05m ,1 stop ,926 NIS ,01/03/2023
"Air Moldova, Aeroflot",YYZ,BKK,12h 15m ,1 stop ,969 NIS ,01/03/2023
"Lufthansa, Nordwind Airlines",YYZ,BKK,8h 45m ,1 stop ,989 NIS ,01/03/2023
"Air France, Nordwind Airlines",YYZ,BKK,10h 10m ,1 stop ,"1,028 NIS ",01/03/2023
"Vueling, Aeroflot",YYZ,BKK,8h 35m ,1 stop ,"1,031 NIS ",01/03/2023
"easyJet, Aeroflot",YYZ,BKK,7h 00m ,1 stop ,"1,078 NIS ",01/03/2023
"Vueling, Aeroflot",YYZ,BKK,7h 20m ,1 stop ,"1,117 NIS ",01/03/2023
"Air France, LOT",YYZ,BKK,8h 30m ,1 stop ,"1,141 NIS ",01/03/2023
KLM,YYZ,BKK,5h 15m ,1 stop ,"1,201 NIS ",01/03/2023
KLM,YYZ,BKK,5h 30m ,1 stop ,"1,201 NIS ",01/03/2023
KLM,YYZ,BKK,5h 40m ,1 stop ,"1,201 NIS ",01/03/2023
KLM,YYZ,BKK,5h 55m ,1 stop ,"1,201 NIS ",01/03/2023
KLM,YYZ,BKK,6h 55m ,1 stop ,"1,201 NIS ",01/03/2023
KLM,YYZ,BKK,7h 00m ,1 stop ,"1,201 NIS ",01/03/2023
KLM,YYZ,BKK,7h 50m ,1 stop ,"1,201 NIS ",01/03/2023
"Vueling, Aeroflot",YYZ,BKK,11h 05m ,1 stop ,"1,002 NIS ",01/03/2023
"easyJet, Aeroflot",YYZ,BKK,8h 25m ,1 stop ,"1,109 NIS ",01/03/2023
KLM,YYZ,BKK,9h 25m ,1 stop ,"1,201 NIS ",01/03/2023
KLM,YYZ,BKK,12h 10m ,1 stop ,"1,201 NIS ",01/03/2023
KLM,YYZ,BKK,13h 35m ,1 stop ,"1,201 NIS ",01/03/2023
KLM,YYZ,BKK,14h 25m ,1 stop ,"1,201 NIS ",01/03/2023
KLM,YYZ,BKK,14h 50m ,1 stop ,"1,201 NIS ",01/03/2023
"Finnair, Pobeda",YYZ,BKK,8h 30m ,2 stops ,717 NIS ,01/03/2023
"Finnair, Aeroflot",YYZ,BKK,8h 20m ,2 stops ,747 NIS ,01/03/2023
"easyJet, Finnair",YYZ,BKK,9h 50m ,2 stops ,808 NIS ,01/03/2023
"Vueling, KLM",YYZ,BKK,12h 35m ,2 stops ,839 NIS ,01/03/2023
"easyJet, KLM",YYZ,BKK,11h 05m ,2 stops ,842 NIS ,01/03/2023
"Pegasus Airlines, Aeroflot",YYZ,BKK,12h 00m ,2 stops ,877 NIS ,01/03/2023
"Air France, KLM",YYZ,BKK,9h 25m ,2 stops ,921 NIS ,01/03/2023
"Ryanair, Aeroflot",YYZ,BKK,11h 55m ,1 stop ,945 NIS ,01/03/2023
"Air France, KLM",YYZ,BKK,10h 45m ,2 stops ,972 NIS ,01/03/2023
"Air France, KLM",YYZ,BKK,10h 40m ,2 stops ,"1,001 NIS ",01/03/2023
"Air France, KLM",YYZ,BKK,10h 40m ,2 stops ,"1,002 NIS ",01/03/2023
"Ryanair, KLM",YYZ,BKK,11h 00m ,2 stops ,"1,032 NIS ",01/03/2023
"KLM, Nordwind Airlines",YYZ,BKK,10h 45m ,2 stops ,"1,079 NIS ",01/03/2023
"KLM, Nordwind Airlines",YYZ,BKK,9h 55m ,2 stops ,"1,080 NIS ",01/03/2023
"KLM, Aeroflot",YYZ,BKK,10h 00m ,2 stops ,"1,131 NIS ",01/03/2023
"Vueling, KLM",YYZ,BKK,11h 40m ,2 stops ,843 NIS ,01/03/2023
Multiple Airlines,YYZ,BKK,7h 15m ,2 stops ,"4,298 NIS ",01/03/2023
Qatar Airways,YYZ,BKK,14h 45m ,1 stop ,"5,953 NIS ",01/03/2023
airBaltic,YYZ,BKK,13h 25m ,1 stop ,708 NIS ,02/03/2023
Aeroflot,YYZ,BKK,3h 35m ,nonstop ,"1,184 NIS ",02/03/2023
Aeroflot,YYZ,BKK,3h 45m ,nonstop ,"1,184 NIS ",02/03/2023
Aeroflot,YYZ,BKK,4h 10m ,nonstop ,"1,184 NIS ",02/03/2023
Air France,YYZ,BKK,3h 35m ,nonstop ,"1,399 NIS ",02/03/2023
Finnair,YYZ,BKK,7h 20m ,1 stop ,589 NIS ,02/03/2023
Finnair,YYZ,BKK,10h 35m ,1 stop ,589 NIS ,02/03/2023
airBaltic,YYZ,BKK,13h 25m ,1 stop ,612 NIS ,02/03/2023
"Ryanair, airBaltic",YYZ,BKK,10h 30m ,1 stop ,659 NIS ,02/03/2023
LOT,YYZ,BKK,7h 30m ,1 stop ,809 NIS ,02/03/2023
LOT,YYZ,BKK,11h 10m ,1 stop ,809 NIS ,02/03/2023
"easyJet, Aeroflot",YYZ,BKK,7h 15m ,1 stop ,872 NIS ,02/03/2023
"Ryanair, Aeroflot",YYZ,BKK,8h 50m ,1 stop ,926 NIS ,02/03/2023
